Mass (u)	P1_2000μC-N	P1_500μC-N	P1_5000μC-N	P1_10000μC-N	P1_15000μC-N	P2_2000μC-N	P2_500μC-N	P2_5000μC-N	P2_10000μC-N	P2_15000μC-N	P3_2000μC-N	P3_500μC-N	P3_5000μC-N	P3_10000μC-N	P3_15000μC-N
29	-5.317799013827403	22.615862375402862	-5.895827176071509	-6.22468044925775	-6.378108597066547	-5.655935987469102	24.47299843273099	-5.7953760847369225	-6.2534243824922235	-6.618802788154926	-5.446838079936806	24.708317614254234	-5.84844853312176	-6.0705028088893265	-6.291434521363811
30	-3.5478547686894806	15.392994769019936	-4.035324308518525	-4.211838319407194	-4.349594983532616	-3.672922301571817	16.29527113293261	-4.039254867526612	-4.36069190022091	-4.376652519469891	-3.638464840392965	17.050256313823972	-3.955870906391117	-4.236398120929643	-4.313654379125737
31	-2.196166742545888	12.146075565908102	-3.0842932300667205	-3.4580641062669186	-3.647483565504317	-2.786279770702197	13.069608665261502	-3.1472560314683533	-3.485450027673649	-3.865898377821208	-2.6429227081102797	13.16813754006423	-3.111576548532093	-3.3828851847296866	-3.5755454778125517
32	-2.657639630809492	25.32791279649076	-6.388896118229053	-7.496687405426068	-8.038892103848424	-5.833019869676297	27.34586465685483	-6.370985878248433	-7.639795743680098	-8.353555338849548	-5.61334969146075	27.19000957361058	-6.2682407587876865	-7.324756440794133	-7.877968047146222
33	1.9213824172360963	15.915549258455945	-3.878054352294708	-5.061573815029911	-5.597187729146826	-2.9517599284793787	15.354711079332207	-3.706149220812084	-5.012450867604178	-5.565959030640117	-2.600938156640755	14.982811674809724	-3.5926955614627607	-4.7619767344251915	-5.445709033298047
34	0.9827740874378534	7.789728406526386	-2.1005268425789523	-2.4361156136451725	-2.776661026904596	-1.6162105150861104	8.093222606209313	-1.767923368469344	-2.4020685427040833	-2.5596897166568366	-1.4466568004127152	7.065988907526294	-1.8281415427357606	-2.418050834994596	-2.5796692035116657
35	15.480642702449376	-3.413885511571737	7.691234833620035	-5.3573984339454315	-12.01867609104137	13.345277645502144	-2.382170070250155	8.36901343069317	-5.988349827346029	-7.11101875073607	10.983500013281118	-3.5729215945030672	5.567509635096177	-7.418911593601714	-14.173846387646531
36	-7.832820403445841	33.68485009797083	-8.75170029450193	-9.171822626499454	-9.45964697584913	-8.82105535944235	37.61090331348219	-8.866958376696584	-9.332999403020876	-10.263612409080102	-8.498970497317686	36.828272435577354	-8.792486014648823	-9.082385029259482	-9.249568457268124
37	0.06869696707448444	22.399337444064013	-3.486361484210886	-8.405081686016024	-10.88567877331805	-1.133200671811573	24.877494223994077	-3.177876959964612	-8.782984424515957	-9.631039186692318	-2.0344760617211364	24.898054715070113	-4.2262130302421035	-9.108892784935076	-11.371778286774893
38	-3.88655405775167	21.509952340262974	-5.182710578820622	-5.737083567141555	-6.174895370813431	-4.784910802403017	21.340356520399535	-5.212142000548677	-5.998185187400011	-7.21043394986488	-4.4249160586875815	22.12907774446745	-4.977600955855264	-5.484844186365557	-5.905109889477734
