mass	P1_500μC-N	P1_2000μC-N	P1_5000μC-N	P1_10000μC-N	P1_15000μC-N	P2_500μC-N	P2_2000μC-N	P2_5000μC-N	P2_10000μC-N	P2_15000μC-N	P3_500μC-N	P3_2000μC-N	P3_5000μC-N	P3_10000μC-N	P3_15000μC-N
63	26.04624267507635	-5.302525650480967	-5.135186609498848	-6.590501108136533	-5.563382003574338	22.389588219665892	-6.659968348556729	-6.001889583547405	-5.421299437496272	-7.595311790498508	23.92784043238238	-6.342540098562453	-6.901652589642537	-4.763427109545722	-6.085986997584306
64	12.978319707293897	1.9959401405579413	-3.245087822334564	-4.467090350837792	-6.086388142044008	21.37925987120984	-5.4513612468029775	-3.3269303183710925	-4.954885954222774	-4.792985786219304	13.242422345735996	-4.409907502881189	-2.9291036340816565	-4.659702537722772	-5.272498769279554
65	15.562217502742246	-4.706471212361944	-5.740117890934446	-3.759888710408886	-1.591470038290286	17.995991137351687	-6.417720673033272	-7.438116775284201	-6.025689502072437	-4.314329087282779	26.727216958968977	-8.104397543060776	-6.5177421109183085	-3.33103658209189	-2.338445473323723
66	14.9107863353142	-1.9343697736867336	-3.0549276298182266	-4.184420718867539	-3.042211048058612	13.896557977607609	-4.192636350259607	-3.0731242211029417	-4.241358704119533	-4.594051441677122	12.554954345540212	-3.240388515791227	-3.1488034096624826	-3.647186059729225	-3.0088207856887372
67	8.264240594768221	0.1725230356091647	-4.418506529529152	-4.576322629841582	2.8987522857126704	4.047559348642574	-2.9491562893535557	7.400716554343986	-3.6254609020302957	-4.968695496186117	7.649749666009775	-3.4872969086708054	-3.2691180901966286	-3.0539373780493007	-0.08504726122897147
68	11.752382119415262	-2.5399373628063913	-3.8277033919575034	-3.77101883336855	-4.153680318294419	17.311927258844957	-4.3119948678932065	-3.4723191572175653	-3.8446108262882084	-4.61289234705263	16.78572505730003	-3.6299028692791495	-4.586183730704432	-3.409235668278952	-3.690555062419247
69	13.88119465138013	-4.926808423039362	-1.2829943794939749	-1.7258959922494692	-4.011569021695694	19.496305781905455	-4.597325582100037	-4.808201302526199	-3.379719629701781	-5.592386166732915	13.738613396641128	-4.506634270799644	-5.19681271531612	-3.494855731666737	-3.5929106146048198
70	8.771028477010974	-1.8314262535887456	-3.0179655002056163	-1.9876365012868935	-2.9491080818819437	10.409299488215044	-2.838605095766742	-1.993773878169357	-2.3403301031750967	-2.8813662801360347	11.084836222094056	-3.065188592463527	-3.0008821570210484	-2.6179827686897816	-1.7408989749352939
71	-1.7273810681735253	-0.5733920224648986	9.01094256188135	0.5244554519980459	-1.6447480992504446	-0.7067217983043522	-0.01219537188976787	-1.9233232497613009	-1.3216682088108687	-0.6942869090815261	1.3447105896617089	4.8080236272405985	0.1315045851798456	-4.628258517362185	-2.5876615708627027
72	32.120007798335315	-7.038733212155397	-8.767000235155828	-7.782622845545044	-8.034577765102778	32.58893842188925	-7.9081979520866925	-8.829757457211327	-6.601172026730472	-7.9969336286536254	29.475821650612012	-8.710323663393181	-7.613235212284202	-7.351771575978358	-7.55044229653969
73	30.96800455693104	-9.063133248497637	-7.894979995723874	-8.048513932571092	-7.442466129950381	29.06539519785951	-7.564504238310311	-7.314188106695295	-7.512243418502754	-9.741600259496703	36.18889374226757	-9.119871904851765	-7.452583877595187	-7.649419721370165	-7.418788663492998
