Mass (u)	P1_2000μC-P	P1_500μC-P	P1_5000μC-P	P1_10000μC-P	P1_15000μC-P	P2_2000μC-P	P2_500μC-P	P2_5000μC-P	P2_10000μC-P	P2_15000μC-P	P3_2000μC-P	P3_500μC-P	P3_5000μC-P	P3_10000μC-P	P3_15000μC-P
483	0.008366314859524512	0.0198279705929172	0.009576980128756974	0.00948770440149865	0.009127126839609812	0.00926719135590196	0.02025662665125619	0.008913767007864117	0.00945989588380702	0.011399430243472638	0.009475558537928875	0.019645946864109025	0.009606414943149153	0.008822668547190597	0.009097186032939141
484	0.0067416163210002175	0.014524087938911747	0.007250948990604876	0.006975081824997194	0.006678427030978218	0.006850661878795637	0.014373251574108318	0.007007054022957555	0.007233237595549591	0.008338212156056898	0.007430363130586291	0.01567175131340828	0.006609405437601845	0.007066996649960964	0.007054740414711625
485	0.007323335646624184	0.015713373417762785	0.00866666990751062	0.00812320799628644	0.007775417994974521	0.008740231008145697	0.015708739681417783	0.008072773884437032	0.0077492163451255616	0.009150215274281224	0.008221711333000897	0.017151979432723913	0.007988098149510445	0.007682760273872684	0.00754765626962708
486	0.010202309526797616	0.014274339473258069	0.01271652653676822	0.012269887167018486	0.011463490925340627	0.01096973558467877	0.013865153939782947	0.012517805802485144	0.011745632552261787	0.012439003043933524	0.011912661214892775	0.01422737600030908	0.012336258598125687	0.011532023011575875	0.010476005863371994
487	0.01072409784047882	0.01367386912464824	0.012795113842932455	0.011854697931439383	0.010725406509444176	0.013087954011092239	0.013444892605534036	0.013596002521348634	0.011972415148329633	0.01231399085029351	0.012128066151997342	0.011732081629453115	0.012034630657398234	0.011797144332046984	0.011329462835359768
488	0.007976871041840672	0.013848058620020566	0.008712199555832885	0.008104435805950527	0.008047093544022568	0.008682854803968139	0.012675975908384877	0.008711050375997939	0.008689608774424365	0.009254582588469753	0.007934160234800059	0.013142672798074824	0.008230220939972981	0.008311350276461363	0.007820688214727934
489	0.008090114052967114	0.011056725792328153	0.00932603827497841	0.008719326512002908	0.007741003094726511	0.009816750548370346	0.0133377620510877	0.009136416134717436	0.00853447884496908	0.009163471994343178	0.008620162518208511	0.011020377907418813	0.008722664899772952	0.007891177312697308	0.007507910857599131
490	0.006466336577482495	0.013585979982703916	0.006594222893645678	0.0071897490918482075	0.0069929618033316735	0.006959127722828618	0.015524990197828494	0.0068784783152362056	0.007003547207420042	0.007999508998742022	0.00626215483368291	0.013842781494811461	0.006828554908431366	0.006689805161056089	0.006683746255907492
491	0.0068087511935185	0.012767304638379407	0.008458909859086363	0.007895435050588687	0.00801367012595085	0.008449757275814094	0.011612746702405988	0.008291022691828858	0.007844591428313072	0.010195183523728052	0.007868906712720026	0.011381808456485702	0.007864265412560092	0.00764043320898386	0.00782075520505311
492	0.006673874212680808	0.015789480835858405	0.007827768051303365	0.00795289279936867	0.007758047521986498	0.007377119305764064	0.015799839404796734	0.007905103859979879	0.0076136943965100295	0.008352634603462566	0.006852328508075629	0.01592798887968871	0.007480377510369511	0.006762181915346551	0.007704861036132086
