Mass (u)	Comp_1	Comp_2	Comp_3	Comp_4	Comp_5	Comp_6
79	0.005064288911161872	0.002820017967795954	0.00874697647754749	0.007824651536672387	0.003293014981882491	0.0020978233514599674
80	0.002232484635382606	0.0012703689208216648	0.004063156624372389	0.004304733718905332	0.0013190522330287584	0.0008255525767827162
81	0.0038679437186237564	0.001020263676042226	0.006500188641145294	0.007268771902719405	0.0041646778372413425	0.0008110712394466537
82	0.0018641140544908416	0.0006838096931513567	0.003544174461920337	0.004528862411459575	0.0021900742907241333	0.0
83	0.002746909161451307	0.00036458973432191427	0.005548827487335827	0.010644876556415906	0.006804368601691039	0.0002559880338086613
84	0.0013653076835696612	0.000955001049270263	0.0024382731451493295	0.004676318320192352	0.0022907036278395337	0.001887991928198174
85	0.0023091303688807883	0.002902913588546433	0.003702060101560017	0.005839040831413285	0.003812933553302502	0.006243840538905296
86	0.002052503807048658	0.005919809641462535	0.0041650100895659755	0.004010273857015765	0.0008587313004435482	0.010672065417084271
87	0.0043823835480141385	0.006176335189969084	0.006121621502641163	0.006786439091292795	0.0007570018920259396	0.00954872453840422
88	0.0018410373316003546	0.003641833839198936	0.0031328275113848155	0.0035005614002037947	0.0014523726202565136	0.005994974488833343
89	0.003023778888054028	0.004835056418540389	0.006490334342441138	0.005137478858772404	0.0014781623865690765	0.006680615860845195
90	0.001795294145681693	0.002681254600416756	0.003686656035218011	0.00389433037321754	0.0005494502050793769	0.0034854364538038883
91	0.005381916302977758	0.0032908890054896248	0.012661665881454877	0.008713803022926618	0.002006516108850255	0.0015837145699555894
92	0.002214785914076185	0.001458127591746131	0.004751489967853703	0.0033232762826159346	0.0013485948884298178	0.0015894673888595954
93	0.002271886661338953	0.0012187085559891328	0.005123855582876457	0.0037332460390011512	0.001658022844161485	0.001209582334451311
94	0.0014357812099125326	0.0007103128557744476	0.0034939028058203403	0.0031130156544983095	0.0016832915837889167	0.000228695701669794
95	0.002584458053275786	0.0007133842231143283	0.005697725497170988	0.0035167658660598903	0.0022049967476311418	0.0
96	0.0011652450635362389	0.0006604595696826006	0.0024357645308731727	0.0031483044784452094	0.001458516503819799	0.00017157773336706804
97	0.001659884676517491	0.0016094441958794104	0.0031104312138486743	0.0046221725153799955	0.0036252733773091727	0.003442136490197569
98	0.0014914100214917553	0.0056467022586896	0.0038535001344675796	0.004546520281568846	0.0024730744412449035	0.010458602642454557
99	0.0018588009084067117	0.0044009402211284765	0.004289297463207402	0.004105908143236145	0.0029527953099824336	0.0075378376935165865
100	0.001056696029561955	0.0022833843222973336	0.0024786424941335853	0.0035161519516190578	0.002175883963393561	0.003410807205463815
101	0.0019194776410016649	0.003369200572824773	0.006371324656941855	0.004307534144101283	0.0008143596400696278	0.004672383020017469
102	0.002350782659379854	0.0031275908599250534	0.0056025009288507635	0.0039361678517966505	0.0008364272593161724	0.0022648500174206605
