Mass (u)	Comp_1	Comp_2	Comp_3	Comp_4	Comp_5
87	0.06612535750164299	0.042753641600514584	0.05026680745934174	0.02807980240432285	0.0012626373631773732
88	0.04656356198424758	0.01815566659085624	0.029550737431230035	0.019060585119646034	0.002606098508205974
89	0.06985127840534869	0.03753657600450608	0.06264159507552865	0.010178217152972128	5.246862010234786e-06
90	0.03286682724876883	0.01858036679117173	0.02509874216524139	1.2409188921479624e-07	2.1960866890270234e-05
91	0.02802694217131293	0.035616915687926985	0.049513475102007105	0.028228671761577104	0.00018656591471260606
92	0.03439377168631642	0.026341797458455822	0.019675362266711877	1.762229401181157e-12	0.008141397140854857
93	0.038529692787553395	0.041743789518236936	0.04947033021832885	0.029444493130226537	1.825480334270177e-05
94	0.019265351113149545	0.026989244602068488	0.01267500665094571	0.010197257758429699	0.00817462222096903
95	0.028115895807179048	0.06292349878308492	0.036901507058279374	0.017255281177459867	0.009558366885476484
96	0.1671093815497793	0.02075231643691178	0.03066763310440699	0.025246434906215802	0.019177409247944414
97	0.19009037286784713	0.0513926922933884	0.06572984187917282	0.04255638275255546	0.033837378519398505
98	0.08360617357244099	0.014687419226889943	0.03162581910934698	0.003824555732674451	0.0022305131626082723
99	0.052455237192691344	0.03148112918224234	0.039362904661756355	0.01376075346034425	1.200624774229613e-06
100	0.04671758827203818	0.012680710045262451	0.01847609580433932	0.020965216034075286	0.006940236189614227
101	0.08181777274678068	0.03294571038459541	0.043949978724857126	0.035157171261731034	0.001820019268744672
102	0.03922899504697183	0.03819418771857626	0.015544275093920718	0.02049659639255791	0.014215808118773824
103	0.08859864766972769	0.07849907052353576	0.053083782225683426	0.0004421690634670139	0.0010876340746556808
104	0.03766168724011842	0.01300433607076689	0.02027639862394837	0.040495551905287884	0.011055605408139947
105	0.0530352118381421	0.030179566688685006	0.03248915967579668	0.02638098577670827	0.0007926921722465042
106	0.018721875400192742	0.015434699168020882	0.02196591815287434	0.014408307930634502	1.4666814248142644e-09
107	0.0243247421598683	0.02457306569290414	0.032101919585699405	0.007651477523118238	0.0033479962958642574
