Mass (u)	Comp_1	Comp_2	Comp_3	Comp_4
101	0.05411990131255352	0.0710695041316173	0.07785541078736417	0.003812577857508764
102	0.06426961986454915	0.06212364126664783	0.06566463393046262	0.0024637292107362024
103	0.10215654448351626	0.04011659932417322	0.06990720664773697	0.007774651272765745
104	0.08850844131219654	0.025758110996117245	0.03711317233402555	0.008495901417797958
105	0.1269824936044261	0.052809693404096865	0.038283883158105526	0.010164359358970278
106	0.04755090697488976	0.02285638958674701	0.02305599526361218	0.0036779484213885012
107	0.055338417930347834	0.020047520849967394	0.049688559255950476	0.0061356830927315415
108	0.03236101336504271	0.01617048252816425	0.029672669982245357	0.00692857307409809
109	0.04503287665909713	0.051420671570664815	0.040815941125449326	0.004451973320954206
110	0.03526629213925967	0.10119851947780709	0.03475216741108524	0.0024239102129540785
111	0.044626272199157095	0.08804529714907745	0.04372743977148981	0.0047905784155004814
112	0.031365529960383255	0.039315128783556225	0.026167546119022354	0.0038578907049686318
113	0.05428498464230988	0.06121407849977063	0.047979247588295804	0.007038483901521062
114	0.036091266247032	0.04728601026976184	0.037677869875095416	0.003349843437687181
115	0.11821749083654881	0.08357987494805807	0.14401259477365436	0.0006024683866133369
116	0.06212473331509419	0.039450719960949295	0.07376059822160703	0.003258073374077936
117	0.06776410121957199	0.024174861156670845	0.060890305255384726	0.01457285119061915
118	0.05272713773066376	0.017603605979675724	0.026595046223046034	0.006840670708481869
119	0.05867457793825634	0.012337168556629021	0.03891817048641847	0.007970248024630056
120	0.04018774138478389	0.023110020921501665	0.020877267272711275	0.007484147934060834
121	0.1361366553817585	0.030348777603393315	0.04030957021869348	0.009807858032245431
122	0.034459629859209	0.09531406556175478	0.025640124876017092	0.00415000374753654
123	0.04233709130359949	0.06434721187327934	0.0310557551456752	0.0039606109226831615
124	0.02314604072927834	0.03311111395881398	0.01953467650299157	0.005002984578883875
125	0.033205930344297314	0.04688566883412955	0.0303106608279593	0.0061527651018945945
126	0.04213292426731022	0.06822363528638753	0.05412849156975235	0.000531648677537342
127	0.06469333619282558	0.05897368085469251	0.08735507787559947	0.000863954322881674
128	0.08808719151050715	0.05800473055187185	0.12804873670498088	5.662942480570263e-05
129	0.07435225861152633	0.028865978641954906	0.08657877407274289	0.0006029176437950079
130	0.047054631345870346	0.017155198409606016	0.03995899597376708	0.00451141774559766
131	0.05638193502058393	0.013298808444495559	0.053680901634065845	0.0049867277916988625
132	0.03120338725450969	0.028682027047565353	0.03059593586935045	0.00577608506190395
133	0.05008181546171037	0.04545097740227347	0.027731756890874662	0.009285174880359516
134	0.034051556394279474	0.07269497092229495	0.01962076801757462	0.0048139560197048795
135	0.046807781586596396	0.05335670790082334	0.023801648618896613	0.009024665852843
136	0.030443559754304482	0.0233714095652674	0.017692436689414844	0.004061323572266801
137	0.04187864323650532	0.049690621663638496	0.03251165178049898	0.005383835362112159
138	0.026173000348738172	0.04114744901441249	0.027293747932128402	0.0041770987939446875
139	0.06650392346546465	0.08253601729525922	0.07104067251438546	0.0031907169590199235
140	0.029774228489176123	0.03881442107851053	0.03823985536135214	0.0025178179993596635
141	0.06271112674269208	0.03490165845098038	0.08162961093846385	0.001043276876302328
142	0.038693021348770944	0.017980587199804512	0.04890997019466099	0.004041854070906411
143	0.03905322142654538	0.012663923279472912	0.04033546684154151	0.006363131009677088
144	0.029256997116797776	0.015207776407952914	0.0333628770732198	0.0020404156452309926
145	0.05239086134361368	0.018233177799080236	0.032937125058074064	0.006624496186857981
146	0.08162138384271907	0.05548792897393722	0.0132652933317081	0.009348755800572721
147	0.07810781826464863	0.03201374402025416	0.035801014086515454	0.0046811688289103036
148	0.029351955600488065	0.025665092076729817	0.015379738311651792	0.006531341673108013
149	0.04234716645297053	0.045650700576793206	0.035922534592404715	0.0032627346045954533
150	0.03724505347282192	0.08294699141393265	0.04243996485319912	0.0008782622045333608
151	0.04677127052558572	0.07630673829096964	0.057903613156055994	0.0030124613292751914
152	0.06664872806748544	0.07878067623288433	0.09477346818333669	0.00048717685314973746
153	0.05705953011236176	0.04257263985460674	0.07856185913599534	0.001466265906430348
154	0.03754878637642019	0.02244654524551197	0.04644436156727279	0.001117066181925335
155	0.04514537297779922	0.014665697622582448	0.06605423716667243	0.007880401710025641
156	0.02784379537731749	0.015999513696899798	0.029569989727861318	0.004382045697170627
157	0.033664326098269456	0.022235136178933437	0.03640015692285881	0.00382733007573028
158	0.025105542969121736	0.04723567194835296	0.02435555013263409	0.00276801767092989
159	0.03222337486370179	0.03133619141153154	0.03159852073770978	0.01753811469863343
160	0.02620929352001339	0.01528615729388658	0.0180650161007422	0.004491335890206428
161	0.0432741884648363	0.04456442445113947	0.024305078931911275	0.004896405956617998
162	0.034357834534715456	0.05433214567076376	0.02178202097509536	0.004633316463506238
163	0.1426868001017553	0.07176995065694526	0.04467181817023963	0.007732777148944724
164	0.04637706971623862	0.057179256823003	0.037187893803799124	0.003104202065706903
165	0.07482300341036442	0.07054335930420194	0.08528213837386059	0.0004398838830019712
166	0.03766445185848031	0.03272248599073274	0.047097867595845576	0.003665095947189805
167	0.03731386294652238	0.02227907173449628	0.03966599606226316	0.007463407299237416
168	0.026561190990896523	0.02243547345318877	0.028150664935477524	0.0060249279436228025
169	0.029936305875629864	0.018599782638336136	0.03461846660461959	0.00386799985425483
170	0.023025238303288908	0.04256038121678575	0.02135318433365768	0.003269364539629998
171	0.04151440062032105	0.02151272708031972	0.037146239592956536	0.001977888222610529
172	0.03033987209458236	0.012550175146722306	0.017133798869862025	0.0051265562065333425
173	0.03583923253897228	0.02465720497557841	0.029762929797293395	0.0028355538605159708
174	0.025640757714858287	0.06704671746870267	0.026012575859658275	0.002519658770470532
175	0.041603010276245314	0.05148087494639562	0.02716899899830839	0.007035417918917449
176	0.04055961733733309	0.07158494011891013	0.04630848912729535	0.002241544772019652
177	0.0409521195784827	0.04447955748414997	0.03519186170567478	0.007220654570706329
178	0.04853613806971416	0.041730774287794786	0.06151764545026458	0.0005393657903952402
179	0.04386720606789814	0.02479547161030821	0.04286912269372407	0.0035473996727702363
180	0.027479640034412167	0.019888740135319372	0.02148797259164	0.003983811130406461
181	0.07305697693804374	0.022211929717495818	0.025152831985656	0.004415388152719417
