Mass (u)	Comp_1	Comp_2	Comp_3	Comp_4	Comp_5
115	0.11670415404836444	0.08357675134554628	0.14878536025781472	0.008496317324347451	0.0011017701135576255
116	0.061344656347709955	0.03947486188746301	0.07630769071596535	0.007099270539052227	0.00044577708747316983
117	0.06664481852695234	0.024720045847246474	0.0574053677174347	0.011458972549929614	0.02579666112613484
118	0.05206845433156224	0.017986885916351062	0.02448344174254313	0.005560810046704795	0.014759761127833643
119	0.05789699199217652	0.01282075415863172	0.03644222139337407	0.006217478707357917	0.01784823925268963
120	0.03959589381427764	0.023379302853292094	0.01873298900300294	0.005919473071709061	0.01401570607919188
121	0.13489388048424064	0.03127299526545081	0.03702362583416583	0.009228616154512795	0.024635715388051652
122	0.03364485770921581	0.09508664689153364	0.023948490682802203	0.004013983354006914	0.01360611924247346
123	0.04151043223701718	0.06441903283617834	0.028449634074685266	0.0026768296529154144	0.017701790817870863
124	0.022594191546855064	0.033224965553975354	0.017199156786800705	0.0032077619807656765	0.014099474994921622
125	0.032467948570875114	0.04699713126934379	0.027800357575170142	0.004407633328227687	0.01679293374457805
126	0.04143549232498685	0.06797996254686033	0.056022153666915125	0.004000643095747563	0.0007432773142329887
127	0.0637257240593264	0.058880598605874794	0.09022265873149148	0.005826595421304695	0.0008274992598576323
128	0.08714558029625276	0.05799184367921591	0.13221348017799056	0.004213069786020855	0.00022143632404437227
129	0.0734936892946554	0.029032408567370306	0.08913017818205446	0.0048039567955678085	0.0016450077886018854
130	0.04652437796609682	0.01734717144985588	0.04025723110058495	0.005420229606807563	0.005453164276376196
131	0.05556897684787158	0.013740159596544173	0.05161472569468947	0.0036073404107191875	0.017365534710339865
132	0.03074610086080552	0.02871112697420981	0.03071672558294149	0.0061842115522086245	0.005024448862299862
133	0.049172605857394844	0.045784176718314286	0.023634706180033653	0.00623250995053666	0.024005567561280923
134	0.033299874950256984	0.07265549480455837	0.017075450737873137	0.0035956384121071925	0.016125020314858584
135	0.045861867419826716	0.053656360127676286	0.01916563179931777	0.0055554428599262256	0.02599311952407905
136	0.029954118359560373	0.023557084827512172	0.01584026136198577	0.002859095495920644	0.011758299397575485
137	0.041133172721061075	0.049798652683281555	0.030633033938747545	0.004519847616326074	0.014580375620402212
138	0.02564754240406057	0.041127469067979726	0.026558571409058256	0.004026473930727363	0.00833170096427932
139	0.06539703352292718	0.08248143910505791	0.07122493842747372	0.005396501555610385	0.011361305218245436
140	0.029298591919148416	0.03872226755301771	0.039183454064663975	0.00407884022344738	0.0022380139060237483
141	0.06168137769131899	0.03511231979166654	0.08184885614827654	0.0031969470754936	0.011018552128265503
142	0.03810826945239815	0.018139357254399108	0.048892720887379185	0.004451142445678429	0.0074939456964308775
143	0.03835982403835189	0.013012369969436536	0.03797461786450152	0.00435823380758379	0.016755838778942458
144	0.028772664730917455	0.015389471907351236	0.03227553629030337	0.0013791751333403985	0.009807158927703258
145	0.05170344435858659	0.018602709172787595	0.030973891007756913	0.005436591992806441	0.014784567584670902
146	0.08094615101626845	0.05567150257298703	0.013364947987529439	0.011116450054623299	0.005909362961155393
147	0.07720598321581239	0.03253397080920386	0.032822114857424915	0.00332504637035415	0.02034673331303597
148	0.02880062009627909	0.025879711765183687	0.012770623917552796	0.00445122563286645	0.015008891780121363
149	0.041483775661236004	0.045928183850141434	0.03195760214914729	0.00024162610903731454	0.023651531819547957
150	0.03650828556967537	0.08266140547070254	0.043080970268861915	0.0031925734770727023	0.005041151065154534
151	0.04599425764469409	0.07605527901452303	0.05960743514950966	0.0060518591350281915	0.0025490353665552005
152	0.06558803757592037	0.07855940296136894	0.09808227607513606	0.00604363396810531	0.0002706733450885877
153	0.05620046061597264	0.042566912690130666	0.08077252821428173	0.005376035769854199	0.002119446773851759
154	0.03703186318682674	0.022496544560394436	0.04755146644034162	0.0032067773196546097	0.002161548888248462
155	0.04442908649816852	0.0148836438722162	0.0661525505313833	0.007957253382431159	0.009361507644958977
156	0.02738726386510967	0.016145282662769534	0.028781832786941856	0.003878407263875233	0.008315049487129567
157	0.03312065039724673	0.02238063971867963	0.035654111516152734	0.003579505978680365	0.00914834658013501
158	0.024549135986777344	0.047214485974135974	0.022987553972717345	0.002230050245385653	0.010613309727750857
159	0.031179376160889175	0.03179880802948298	0.02516100729398903	0.010922495708701256	0.03452394371929895
160	0.025760808135486875	0.015490371782495049	0.016254564947002042	0.0030885731258692775	0.011389886831894054
161	0.04250123338390153	0.04481272936786629	0.020884592040259387	0.0025678489309139112	0.02015784654254791
162	0.03374223082401829	0.05432209585114582	0.020466862932230566	0.004324581008557324	0.010790964245477978
163	0.1413340808227064	0.07236008812568961	0.0432651284202506	0.009893469682051136	0.01826157120117074
164	0.045675351006297736	0.0571626868352193	0.03695008699498181	0.004183407872131862	0.008212345168043192
165	0.07377916850038986	0.0705282102111652	0.08679625290409547	0.0038702202545772193	0.006861355552007299
166	0.03714142848216811	0.03270032990016265	0.048345137030285805	0.005432645176239089	0.002108785823672759
167	0.03664652543895813	0.0225074621727314	0.038043671160274954	0.006124991277974343	0.013765340250314862
168	0.026165094743936284	0.022469529579134572	0.028303178113493237	0.006261424529507491	0.004353319441168352
169	0.02938084462119904	0.01879493180649979	0.03309879746866359	0.0027472936106110314	0.01205568074369882
170	0.022512773427261948	0.04255448583734334	0.019954448770335257	0.0025805917109166833	0.01026380268916326
171	0.040937881193308275	0.02171326474143114	0.03640410354122764	0.0021518272495268144	0.009274503262574138
172	0.030009880995764706	0.012688906618466408	0.016906543849394946	0.005188399777406931	0.004626573929247818
173	0.035305835191540985	0.024820025680664937	0.028711829815824284	0.0025170932488973474	0.00976932131848717
174	0.025065932147676065	0.06684470411107231	0.025622222417779107	0.0031672156750613095	0.007062410205016979
175	0.04094904355758575	0.05150563495548226	0.02629648155774604	0.006989566701319395	0.009956028776332912
176	0.039894814254286586	0.071329703745065	0.0478448291870238	0.00509738188033053	0.001610468951072396
177	0.04019416292459305	0.04461802999376744	0.03325311656839599	0.006020698233146815	0.015203109681026662
178	0.04779010771654724	0.041758020723896436	0.06236871539959609	0.0027801428350804603	0.005626918367621088
179	0.043247062635386926	0.024971728584511327	0.042451316606050345	0.003917394771592295	0.008812912041204692
180	0.02703277867440837	0.020037124832634215	0.020238277120456137	0.0032047997351504244	0.009427717184275047
