Mass (u)	P1_2000μC-N	P1_500μC-N	P1_5000μC-N	P1_10000μC-N	P1_15000μC-N	P2_2000μC-N	P2_500μC-N	P2_5000μC-N	P2_10000μC-N	P2_15000μC-N	P3_2000μC-N	P3_500μC-N	P3_5000μC-N	P3_10000μC-N	P3_15000μC-N
656	0.008899518131807524	0.0011976930114523073	0.012194933735452272	0.014900082444605684	0.014984908180492076	0.010801154585131797	0.0012512141779526737	0.012211923037943056	0.014660291559092148	0.016778375422493462	0.01004503666592563	0.0008555293878417724	0.011938156746187112	0.013749914674712732	0.014867808186650828
657	0.006727335744647455	0.0	0.009795100146454263	0.011119216695751078	0.011878096632307792	0.008348665024859005	0.0012512141779526737	0.009676692113195553	0.011259014301001052	0.01215574448170788	0.007959649364695147	0.0012099012632945862	0.008202301752408823	0.010261620340054482	0.011079929052810113
658	0.006855455934400678	0.0018937189269277108	0.009009906245097107	0.009605186071288347	0.01076286493093819	0.008145104263301752	0.0017694840598941742	0.008202136648241157	0.009727319793726213	0.012719339272716325	0.007633486321426169	0.001913021867962985	0.007701761921253924	0.009800843369155885	0.010340430373894323
659	0.004325660161303328	0.002240680893894296	0.006485666524462292	0.007605922549157295	0.007832996124637219	0.005595213403190236	0.0015324220446851023	0.006583796537026685	0.008034396138393695	0.009354985221571868	0.005269313765958057	0.0014818279041917265	0.005892485284373113	0.007360895031998842	0.007862629248010566
660	0.007196160622714449	0.0008468968501776638	0.009390996359340096	0.011925085085075435	0.012683424044839376	0.008481423960208607	0.00153241814745998	0.00923636981565553	0.012018789983715136	0.014492426631689193	0.008888190421571508	0.0008555293878417724	0.00960393472148485	0.011599617106977917	0.012944999094872015
661	0.006361611373317432	0.0011976930114523073	0.008306773713736898	0.010714693396305808	0.011670966270124226	0.007576182492541756	0.0	0.008307285073051472	0.010845432545883816	0.011782202137712883	0.007130236719408063	0.001913021867962985	0.007631095465522584	0.010513571793996757	0.011606819425185337
662	0.007998098358109246	0.0014668721037975833	0.011151572376229548	0.013751926413890211	0.014537984695722563	0.010342847114211361	0.0012512141779526737	0.010567454240872664	0.014085883803844165	0.015717920110582918	0.010045055681781127	0.0008555293878417724	0.01075867763834429	0.013236466630883022	0.014481015120909383
663	0.007404815918257236	0.0008468968501776638	0.00964321665913945	0.012314958643315797	0.012985888727507304	0.008698470022053527	0.0012512141779526737	0.010166112676539418	0.012165527982837644	0.013115169034417546	0.008483039814794544	0.0017110587756835446	0.008715446184379132	0.011317780358933304	0.01254704241223172
664	0.00794351575143235	0.0011976930114523073	0.011266881596294938	0.012227705433923647	0.013536725947525655	0.010124323911973192	0.0008847420299470872	0.011388876490495452	0.012405062508700064	0.01483195525076817	0.010237969800135716	0.0012099012632945862	0.01057217823913283	0.011783893873327645	0.01229383580231679
665	0.00625814421827819	0.0	0.00731459572896279	0.008999648439912033	0.009289969961244711	0.006987466673206794	0.0008847420299470872	0.008031323501420565	0.008904618808922203	0.010786660197871592	0.0065289074264798935	0.0012099012632945862	0.0074632499233165195	0.008613746476371113	0.008845827016389432
666	0.006258102834820505	0.0011976930114523073	0.009192393140920966	0.01005437518751316	0.01042451881699749	0.009358980890361452	0.0	0.009179864429383703	0.010939943172988393	0.012789269454755184	0.008413455041622213	0.0	0.009180228797095923	0.009800847921945197	0.010340401281652546
