mass	P1_500μC-N	P1_2000μC-N	P1_5000μC-N	P1_10000μC-N	P1_15000μC-N	P2_500μC-N	P2_2000μC-N	P2_5000μC-N	P2_10000μC-N	P2_15000μC-N	P3_500μC-N	P3_2000μC-N	P3_5000μC-N	P3_10000μC-N	P3_15000μC-N
697	0.7981091005051046	70.57221829407487	162.24800585139263	142.24931774297985	223.566779571304	0.8893974553695474	88.9926209382084	138.09471677854285	166.92974617910286	434.45078395651035	0.0	85.73402283669442	187.9868100528657	219.22457226031884	255.3278967892139
698	2.3160934633578805	148.3187994064283	178.45510290573054	281.17746294153716	318.7962122596163	3.5300542723862036	164.25045512115628	141.07207414950898	269.6101613296157	617.2381930784643	0.8955629327840466	114.96247759572788	213.49326881931242	260.4486521085114	424.30400446185496
699	0.0	101.11453163697671	386.5424037023525	187.0039648244669	241.44161725191995	0.8497313321410884	87.07535232907793	118.38531495088357	223.46660647555836	468.2627878101021	1.5128255323038482	79.63405792048603	152.379213587106	146.87860396262812	253.8805388013024
700	1.0094592567205873	142.9024363159175	201.32510726411516	346.0525825695135	414.47688662188733	2.2902353249252547	219.53114511718832	196.60018359953773	360.8689864465362	764.6536386693224	2.331040799370672	177.7013689129162	293.764005410368	389.55595338840885	273.75944390681815
701	0.0	90.62158326662188	204.57153756592362	319.34022092192754	328.1279787118907	0.0	174.77349872766192	409.25533739682646	256.10372593594235	438.61453861315044	0.0	172.4576977995437	156.32793779042757	322.6228838307543	252.06193683276115
702	0.9574110064011899	216.13144063317674	397.8248851721163	1002.5696966438226	964.1769047956952	0.0	445.1563207429049	445.9855533701098	1125.421455081659	1312.8105682143307	3.9961134265551914	241.16208442235217	381.97575162227264	681.9194007450203	720.0744485712778
703	1.9542131948903052	140.122201099075	155.0829842640445	362.37968528374665	467.90569722803406	1.0111427907552712	223.01577526236417	233.27595396177335	374.22917331339994	497.932685636168	0.0	222.60998019644677	156.6453823988484	399.2179378622637	529.5845386665732
704	1.6761091408885274	69.6070603460849	158.5314926363884	336.6466516707518	535.3427879649977	0.0	189.61139841127684	110.60449121369675	396.51122977337315	861.2703749934644	1.1164772752731429	210.5383759928899	203.88840705237382	270.00692758367757	375.6421607285457
705	0.0	57.35884897322728	115.05541985412823	247.49226779243133	232.30676199126586	0.0	121.84195659883001	246.19964796953028	318.97421310361625	438.21030239464676	0.9662469877405984	57.1003174339337	144.46633786230635	163.35053238322863	235.6684543392106
706	0.0	235.2938336970287	293.54233118553384	625.8526662082934	830.747619351896	1.4465393125689012	367.4193782132685	468.65380199039026	1338.8561771836005	1034.0990523912335	0.9555764948926063	432.1964424090361	364.23753710859415	549.9368937041592	586.643062535276
707	1.8879736375818112	82.4655769494808	148.7555125374619	201.9607335474058	351.6126202995472	1.4795301037662008	258.632558936299	244.65519393751813	294.4461826187047	534.0927611604463	0.6716605945019446	137.02920697496415	234.8441242318341	264.4880060827073	173.98389479527464
708	0.0	137.73473585691778	263.7658348349528	328.3017260112124	433.80066897370864	1.1849830917205226	212.9119324335635	481.9417704199821	442.74782467656814	851.5070873997182	0.8782702291750312	242.52097730644374	337.5239362402566	525.6400112613861	406.17588431329744
709	0.877183119320255	83.42792181824493	179.15307040348242	214.94467391152935	284.59647048726976	0.0	255.02452453708162	311.49648075608167	211.38781672238244	591.0003246594397	0.8319470072988667	155.4041704374998	198.5546491024575	283.84988124962615	279.965811224922
710	0.0	134.10049604667142	259.1870889394356	833.8038200385263	744.005319101886	1.7795966337280589	182.38205430668668	368.8381240753676	758.7152527009988	799.5870707584503	0.840124837897286	260.1348378874123	213.57098609843322	459.97551897693626	793.0140885153979
711	0.0	132.34491161557082	139.10175179124536	224.96709298518658	367.7101043605462	1.4357303013901472	185.5015337991225	219.11840081082465	165.17149116218837	591.5077147491056	0.8461443295931117	139.76005092841197	136.82920587815565	363.6622614945631	329.5722232114761
712	0.0	91.30409063433643	191.37010974252337	263.28267106746375	363.4623539767337	0.8637423417906305	241.65597111849286	223.2945874712224	239.7597662586948	710.7730424347455	0.0	158.3622640838004	257.65613322919785	358.1042436785819	361.19419310675113
713	1.2573774906419124	99.31198170188512	153.51197511385587	515.2549663084737	629.9792784235852	1.0363748149650938	171.18375191604	165.27071665004098	343.7388321489063	780.0275923356219	0.0	198.78428752879458	283.3457215116543	252.88462120670462	341.1989871438196
