Mass (u)	P1_2000μC-N	P1_500μC-N	P1_5000μC-N	P1_10000μC-N	P1_15000μC-N	P2_2000μC-N	P2_500μC-N	P2_5000μC-N	P2_10000μC-N	P2_15000μC-N	P3_2000μC-N	P3_500μC-N	P3_5000μC-N	P3_10000μC-N	P3_15000μC-N
450	496.12298205005214	4.000045777143302	876.4249389794826	1359.9649591172524	1545.237882755967	721.2780171219455	3.000022888416427	835.365928475263	1401.0310841207186	2186.5245664656118	679.2543824897091	5.000038147360711	852.4004179690966	1210.7759258220376	1454.0679665026432
451	719.3553482787945	1.0000076294721425	1313.191361975806	2011.8531959796985	2332.658935529136	1096.8468069832625	1.0000076294721425	1437.3492413756194	2090.030435392215	2702.078322621753	891.5948439249136	4.000045777143302	1225.0790284667507	1664.9039190138838	1998.7538468209652
452	257.02680540425183	1.0000076294721425	480.1051944554109	859.3075333502145	1004.4170358293604	429.07754014409886	0.0	471.0911400783141	867.3072695289925	1370.7995363729851	365.053590999324	1.0000076294721425	503.1095197580896	784.2564057385931	864.3107297312381
453	293.04594564012683	1.0000076294721425	596.1922008735871	944.5096530506584	1090.6354017325757	500.15295127299953	3.000022888416427	621.2118848133773	887.4406448507742	1384.0562686938524	448.11571394262415	3.000022888416427	537.1670811990826	783.3434222577263	879.4314034958404
454	210.01715256231776	3.000022888416427	380.0595661801504	691.1883305482324	763.2251513316176	289.03352052262335	3.000022888416427	398.0586646328189	681.178406523765	1060.4550703114896	296.03488647963457	2.000015258944285	401.06203022116097	604.1407999548229	742.216124520277
455	147.01198707459804	5.000038147360711	306.0530660233022	486.1350408841733	564.1814206083002	251.03156780475223	5.000053406615444	351.0684444451799	499.1472320101914	783.3622098753518	225.0272944498415	1.0000076294721425	275.04019127352745	394.0889077228482	485.1337832494488
456	195.01946534649252	2.000015258944285	412.08987107429095	709.2683053826713	912.4432039137864	286.04081012984136	2.000015258944285	356.0632943366052	826.3523339628999	1262.8600769682964	281.0421462784016	2.000015258944285	368.0756746291352	725.2756178929219	868.4107903781179
457	266.0399854990654	4.000030517888569	532.1665685381313	950.5507927401984	1222.9117138725812	427.10027112605474	2.000015258944285	669.2513126128215	1040.676537831054	1537.481453374344	365.08029152603007	4.000030517888569	538.1571638371265	874.4686339449386	1212.8540534009517
458	270.03566620251524	6.000061036087587	478.1066447826437	802.3263674632019	992.4782898521372	372.073629222745	0.0	438.0890903726484	854.3598565839002	1337.860533197895	368.0651551980392	1.0000076294721425	437.09595225783823	692.2339474922192	947.422142994454
459	293.05724209631404	3.000022888416427	585.213620386612	998.5876319895268	1190.8356397884431	468.1256823924834	1.0000076294721425	593.2124745032486	978.5800554939492	1421.268174034339	425.1062113248517	0.0	509.1442241560743	914.500230856392	1132.7664372933416
